doc_no,filename,category,date,phase,owner,counterparty,summary,event_code,file_type,estimated_pages
01-001,Head Contract Bundle - Riverside Towers.pdf,01_contract,2025-08-29,Contract Award,Riverside Development Group Pty Ltd,Apex Construction Pty Ltd,"Single bundled head contract PDF for Riverside Towers - Mixed Use Development, including FIA, Annexure Part A, Annexure Part B, the AS4000-2025 general conditions, scope schedules, and tender return components.",EV-01,application/pdf,380
02-001,Request for Tender - Part 1 Conditions and Overview.pdf,02_tender,2025-05-12,Tender,Riverside Development Group Pty Ltd,Market,"Tender conditions, key dates, submission rules, and overview for Riverside Towers head contract.",EV-01,application/pdf,24
02-002,Request for Tender - Part 2 Scope and Project Brief.pdf,02_tender,2025-05-12,Tender,Riverside Development Group Pty Ltd,Market,"Project brief describing mixed-use tower scope, separable portions, and delivery constraints.",EV-01,application/pdf,48
02-003,Tender Form and Declaration.pdf,02_tender,2025-05-12,Tender,Riverside Development Group Pty Ltd,Market,"Tender form, declarations, and compliance statements required from each tenderer.",EV-01,application/pdf,8
02-004,Schedule of Contract Documents.pdf,02_tender,2025-05-12,Tender,Riverside Development Group Pty Ltd,Market,"Schedule identifying drawings, specifications, schedules, and other tender documents forming part of the contract.",EV-01,application/pdf,10
02-005,Scope of Contract - Head Contractor Works.pdf,02_tender,2025-05-12,Tender,Riverside Development Group Pty Ltd,Market,Short-form scope of contract setting out physical and functional extent of the head contractor works.,EV-01,application/pdf,14
02-006,Tender Addendum 01 - Façade Fire Compliance Clarifications.pdf,02_tender,2025-06-03,Tender,Riverside Development Group Pty Ltd,Market,"Clarifies façade combustibility requirements, testing expectations, and tender qualification treatment.",EV-01,application/pdf,12
02-007,Tender Addendum 02 - Basement Services Coordination.pdf,02_tender,2025-06-19,Tender,Riverside Development Group Pty Ltd,Market,Issues revised basement coordination notes and updated authority interfaces.,EV-01,application/pdf,11
02-008,Apex Construction Pty Ltd - Tender Submission Volume 1 Executive and Methodology.pdf,02_tender,2025-07-18,Tender,Apex Construction Pty Ltd,Riverside Development Group Pty Ltd,"Tender executive summary, methodology, preliminaries, and resource plan submitted by Apex Construction.",EV-01,application/pdf,58
02-009,Apex Construction Pty Ltd - Tender Submission Volume 2 Programme and Staging.pdf,02_tender,2025-07-18,Tender,Apex Construction Pty Ltd,Riverside Development Group Pty Ltd,"Tender programme, staging narrative, tower crane strategy, and shutdown assumptions.",EV-01,application/pdf,44
02-010,Apex Construction Pty Ltd - Tender Submission Volume 3 Price Schedule.pdf,02_tender,2025-07-18,Tender,Apex Construction Pty Ltd,Riverside Development Group Pty Ltd,"Detailed tender pricing broken down by trade package, preliminaries, contingency, and provisional sums.",EV-01,application/pdf,30
02-011,Apex Construction Pty Ltd - Tender Qualifications and Non-Conformances.pdf,02_tender,2025-07-18,Tender,Apex Construction Pty Ltd,Riverside Development Group Pty Ltd,"Apex list of tender qualifications, exclusions, programme assumptions, and proposed departures.",EV-01,application/pdf,18
02-012,Tender Clarification Register - Round 1 to 24.pdf,02_tender,2025-08-01,Tender,Riverside Development Group Pty Ltd,Apex Construction Pty Ltd,Compiled tender clarification questions and responses exchanged during evaluation and negotiation.,EV-01,application/pdf,32
02-013,Post-Tender Interview Minutes - Apex Construction.pdf,02_tender,2025-08-06,Tender,Riverside Development Group Pty Ltd,Apex Construction Pty Ltd,"Minutes of post-tender interview covering methodology, preliminaries, and risk allocation.",EV-01,application/pdf,9
02-014,Letter of Intent - Early Procurement and Design Finalisation.pdf,02_tender,2025-08-18,Tender,Riverside Development Group Pty Ltd,Apex Construction Pty Ltd,Letter authorising early procurement and limited mobilisation ahead of contract execution.,EV-01,application/pdf,7
02-015,Tender Recommendation and Award Approval.pdf,02_tender,2025-08-22,Tender,Riverside Development Group Pty Ltd,Internal / Board,Recommendation to appoint Apex Construction as preferred tenderer for the project.,EV-01,application/pdf,16
03-001,A-001 - Drawing Register - Architectural Set Rev D.pdf,03_drawings,2025-09-02,Design / IFC,Consultant Team,Project Team,"Architectural register covering all issued-for-construction plans, sections, and details.",EV-01,application/pdf,6
03-002,A-100 - Architectural Site Plan Rev D.pdf,03_drawings,2025-09-02,Design / IFC,Consultant Team,Project Team,"Site plan showing setbacks, site access, hoarding, and adjacent interface conditions.",EV-01,application/pdf,2
03-003,A-101 - Ground Floor Plan Rev D.pdf,03_drawings,2025-09-02,Design / IFC,Consultant Team,Project Team,"Ground floor lobby, retail tenancy, back-of-house, and loading dock arrangement.",EV-01,application/pdf,3
03-004,A-102 - Level 1 Podium Plan Rev D.pdf,03_drawings,2025-09-02,Design / IFC,Consultant Team,Project Team,"Podium plan with amenities, transfer structure interfaces, and external terraces.",EV-01,application/pdf,3
03-005,A-103 - Typical Residential Floor Plan Levels 2-14 Rev D.pdf,03_drawings,2025-09-02,Design / IFC,Consultant Team,Project Team,"Typical residential layout, apartment mix, risers, and service cupboards.",EV-01,application/pdf,3
03-006,A-104 - Level 15 Plant and Roof Plan Rev C.pdf,03_drawings,2025-09-02,Design / IFC,Consultant Team,Project Team,"Roof plan showing plant, BMU provisions, screening, and access walkways.",EV-01,application/pdf,2
03-007,A-201 - Basement B1 Plan Rev D.pdf,03_drawings,2025-09-05,Design / IFC,Consultant Team,Project Team,"Basement level B1 plan including car parking, services rooms, and access routes.",EV-03,application/pdf,3
03-008,A-202 - Basement B2 Plan Rev D.pdf,03_drawings,2025-09-05,Design / IFC,Consultant Team,Project Team,"Basement level B2 plan including car parking, storage, and hydraulic coordination.",EV-03,application/pdf,3
