event_code,title,window,linked_documents
EV-01,Tender clarification and façade fire-compliance qualification,2025-06 to 2025-07,39
EV-02,Additional piling triggered by revised geotechnical interpretation,2025-10 to 2025-11,22
EV-03,December stormwater and bulk excavation interface RFIs,2025-12,27
EV-04,January 2026 inclement weather impacts,2026-01,4
EV-05,Laneway B access restriction and traffic-management redesign,2026-01 to 2026-02,12
EV-06,Groundwater and basalt latent conditions in B3 excavation,2026-02 to 2026-03,23
EV-07,Façade panel specification change to A2-compliant system,2026-02 to 2026-04,11
EV-08,Basement waterproofing upgrade and redesigned details,2026-03 to 2026-04,23
EV-09,Electrical substation authority approvals and riser clashes,2026-04 to 2026-06,20
EV-10,Lift procurement and acoustic redesign impacts,2026-06 to 2026-08,39
